type,n,k1,k2,gamma1,gamma2,MDS1,MDS2,pre_intersection,intersection,pre_union,union
ER+SF,1000,1.0,1.0,,2.0,645,833,535,550,943,928
ER+SF,1000,1.0,1.0,,2.1,645,830,535,554,940,921
ER+SF,1000,1.0,1.0,,2.2,645,804,518,537,931,912
ER+SF,1000,1.0,1.0,,2.3,645,782,502,517,925,910
ER+SF,1000,1.0,1.0,,2.4,645,771,501,522,915,894
ER+SF,1000,1.0,1.0,,2.5,645,751,484,502,912,894
ER+SF,1000,1.0,1.0,,2.6,645,727,473,492,899,880
ER+SF,1000,1.0,1.0,,2.7,645,717,468,486,894,876
ER+SF,1000,1.0,1.0,,2.8,645,714,463,483,896,876
ER+SF,1000,1.0,1.0,,2.9,645,702,449,467,898,880
ER+SF,1000,1.0,1.0,,3.0,645,705,471,490,879,860
ER+SF,1000,1.0,1.0,,3.1,645,688,448,472,885,861
ER+SF,1000,1.0,1.0,,3.2,645,700,451,472,894,873
ER+SF,1000,1.0,1.0,,3.3,645,686,455,471,876,860
ER+SF,1000,1.0,1.0,,3.4,645,678,448,462,875,861
ER+SF,1000,1.0,1.0,,3.5,645,678,439,457,884,866
ER+SF,1000,1.0,1.0,,3.6,645,659,441,461,863,843
ER+SF,1000,1.0,1.0,,3.7,645,677,439,460,883,862
ER+SF,1000,1.0,1.0,,3.8,645,680,433,454,892,871
ER+SF,1000,1.0,1.0,,3.9,645,671,431,454,885,862
ER+SF,1000,1.0,1.0,,4.0,645,680,442,462,883,863
ER+SF,1000,1.0,1.0,,4.1,645,675,434,454,886,866
ER+SF,1000,1.0,1.0,,4.2,645,671,424,445,892,871
ER+SF,1000,1.0,1.0,,4.3,645,665,435,462,875,848
ER+SF,1000,1.0,1.0,,4.4,645,665,436,458,874,852
ER+SF,1000,1.0,1.0,,4.5,645,665,430,457,880,853
ER+SF,1000,1.0,1.0,,4.6,645,654,421,442,878,857
ER+SF,1000,1.0,1.0,,4.7,645,656,431,448,870,853
ER+SF,1000,1.0,1.0,,4.8,645,665,440,462,870,848
ER+SF,1000,1.0,1.0,,4.9,645,668,431,451,882,862
ER+SF,1000,1.0,1.0,,5.0,645,664,432,452,877,857
ER+SF,1000,1.1,1.1,,2.0,629,840,530,553,939,916
ER+SF,1000,1.1,1.1,,2.1,629,821,513,539,937,911
ER+SF,1000,1.1,1.1,,2.2,629,791,497,518,923,902
ER+SF,1000,1.1,1.1,,2.3,629,773,489,504,913,898
ER+SF,1000,1.1,1.1,,2.4,629,741,470,490,900,880
ER+SF,1000,1.1,1.1,,2.5,629,734,462,486,901,877
ER+SF,1000,1.1,1.1,,2.6,629,716,449,472,896,873
ER+SF,1000,1.1,1.1,,2.7,629,689,434,456,884,862
ER+SF,1000,1.1,1.1,,2.8,629,709,447,470,891,868
ER+SF,1000,1.1,1.1,,2.9,629,684,433,456,880,857
ER+SF,1000,1.1,1.1,,3.0,629,683,441,456,871,856
ER+SF,1000,1.1,1.1,,3.1,629,680,433,461,876,848
ER+SF,1000,1.1,1.1,,3.2,629,659,421,440,867,848
ER+SF,1000,1.1,1.1,,3.3,629,651,403,430,877,850
ER+SF,1000,1.1,1.1,,3.4,629,666,421,446,874,849
ER+SF,1000,1.1,1.1,,3.5,629,672,419,447,882,854
ER+SF,1000,1.1,1.1,,3.6,629,648,406,430,871,847
ER+SF,1000,1.1,1.1,,3.7,629,656,407,429,878,856
ER+SF,1000,1.1,1.1,,3.8,629,655,419,438,865,846
ER+SF,1000,1.1,1.1,,3.9,629,650,429,451,850,828
ER+SF,1000,1.1,1.1,,4.0,629,654,427,450,856,833
ER+SF,1000,1.1,1.1,,4.1,629,652,412,434,869,847
ER+SF,1000,1.1,1.1,,4.2,629,640,409,435,860,834
ER+SF,1000,1.1,1.1,,4.3,629,648,404,423,873,854
ER+SF,1000,1.1,1.1,,4.4,629,651,408,430,872,850
ER+SF,1000,1.1,1.1,,4.5,629,637,404,435,862,831
ER+SF,1000,1.1,1.1,,4.6,629,643,408,429,864,843
ER+SF,1000,1.1,1.1,,4.7,629,652,414,431,867,850
ER+SF,1000,1.1,1.1,,4.8,629,635,396,418,868,846
ER+SF,1000,1.1,1.1,,4.9,629,642,410,438,861,833
ER+SF,1000,1.1,1.1,,5.0,629,632,387,410,874,851
ER+SF,1000,1.2,1.2,,2.0,612,833,510,526,935,919
ER+SF,1000,1.2,1.2,,2.1,612,796,485,506,923,902
ER+SF,1000,1.2,1.2,,2.2,612,781,478,500,915,893
ER+SF,1000,1.2,1.2,,2.3,612,757,463,484,906,885
ER+SF,1000,1.2,1.2,,2.4,612,736,448,471,900,877
ER+SF,1000,1.2,1.2,,2.5,612,701,425,458,888,855
ER+SF,1000,1.2,1.2,,2.6,612,699,428,458,883,853
ER+SF,1000,1.2,1.2,,2.7,612,683,416,445,879,850
ER+SF,1000,1.2,1.2,,2.8,612,677,405,438,884,851
ER+SF,1000,1.2,1.2,,2.9,612,667,406,428,873,851
ER+SF,1000,1.2,1.2,,3.0,612,655,396,428,871,839
ER+SF,1000,1.2,1.2,,3.1,612,658,397,422,873,848
ER+SF,1000,1.2,1.2,,3.2,612,655,390,423,877,844
ER+SF,1000,1.2,1.2,,3.3,612,653,401,436,864,829
ER+SF,1000,1.2,1.2,,3.4,612,637,381,411,868,838
ER+SF,1000,1.2,1.2,,3.5,612,636,391,427,857,821
ER+SF,1000,1.2,1.2,,3.6,612,634,378,417,868,829
ER+SF,1000,1.2,1.2,,3.7,612,627,385,414,854,825
ER+SF,1000,1.2,1.2,,3.8,612,654,407,437,859,829
ER+SF,1000,1.2,1.2,,3.9,612,644,396,424,860,832
ER+SF,1000,1.2,1.2,,4.0,612,624,380,412,856,824
ER+SF,1000,1.2,1.2,,4.1,612,625,379,413,858,824
ER+SF,1000,1.2,1.2,,4.2,612,632,385,415,859,829
ER+SF,1000,1.2,1.2,,4.3,612,629,376,407,865,834
ER+SF,1000,1.2,1.2,,4.4,612,616,365,399,863,829
ER+SF,1000,1.2,1.2,,4.5,612,636,396,422,852,826
ER+SF,1000,1.2,1.2,,4.6,612,616,376,402,852,826
ER+SF,1000,1.2,1.2,,4.7,612,623,374,401,861,834
ER+SF,1000,1.2,1.2,,4.8,612,598,353,377,857,833
ER+SF,1000,1.2,1.2,,4.9,612,616,374,406,854,822
ER+SF,1000,1.2,1.2,,5.0,612,608,375,406,845,814
ER+SF,1000,1.3,1.3,,2.0,572,820,456,481,936,911
ER+SF,1000,1.3,1.3,,2.1,572,792,456,480,908,884
ER+SF,1000,1.3,1.3,,2.2,572,752,433,455,891,869
ER+SF,1000,1.3,1.3,,2.3,572,729,416,442,885,859
ER+SF,1000,1.3,1.3,,2.4,572,723,415,437,880,858
ER+SF,1000,1.3,1.3,,2.5,572,699,407,427,864,844
ER+SF,1000,1.3,1.3,,2.6,572,692,384,418,880,846
ER+SF,1000,1.3,1.3,,2.7,572,671,383,415,860,828
ER+SF,1000,1.3,1.3,,2.8,572,649,364,396,857,825
ER+SF,1000,1.3,1.3,,2.9,572,660,374,408,858,824
ER+SF,1000,1.3,1.3,,3.0,572,641,381,399,832,814
