network_type,N,<k>,seq,MDS_1,MDS_2,Diff_MDS_1,Diff_MDS_2,UMDS_0,UMDS_1,UMDS_2,average_depth,time_1,time_2
ER+ER,1000,2.0,0,478,453,260,235,713,705,663,1.16,0.40709710121154785,0.03888082504272461
ER+ER,1000,2.0,1,478,453,264,239,717,700,663,1.1111111111111112,0.40236997604370117,0.038945674896240234
ER+ER,1000,2.0,2,478,453,254,229,707,705,663,1.1136363636363635,0.4044620990753174,0.03754591941833496
ER+ER,1000,2.0,3,478,453,265,240,718,698,663,1.1272727272727272,0.4046640396118164,0.039452552795410156
ER+ER,1000,2.0,4,478,453,257,232,710,705,663,1.0638297872340425,0.3927488327026367,0.03718829154968262
ER+ER,1000,2.0,5,478,453,266,241,719,705,663,1.1428571428571428,0.40127992630004883,0.04038286209106445
ER+ER,1000,2.0,6,478,453,262,237,715,703,663,1.0961538461538463,0.3937835693359375,0.03871297836303711
ER+ER,1000,2.0,7,478,453,264,239,717,702,663,1.1296296296296295,0.40094494819641113,0.03928875923156738
ER+ER,1000,2.0,8,478,453,256,231,709,705,663,1.173913043478261,0.4032113552093506,0.038422584533691406
ER+ER,1000,2.0,9,478,453,263,238,716,702,663,1.0377358490566038,0.4060969352722168,0.038915157318115234
ER+ER,1000,2.1,0,438,433,242,237,675,660,624,1.1568627450980393,0.4314761161804199,0.034568071365356445
ER+ER,1000,2.1,1,438,433,238,233,671,661,624,1.0425531914893618,0.422809362411499,0.03329801559448242
ER+ER,1000,2.1,2,438,433,240,235,673,662,624,1.1224489795918366,0.4263162612915039,0.034198760986328125
ER+ER,1000,2.1,3,438,433,242,237,675,662,624,1.1568627450980393,0.4185597896575928,0.034497737884521484
ER+ER,1000,2.1,4,438,433,237,232,670,660,624,1.0434782608695652,0.4334688186645508,0.0333104133605957
ER+ER,1000,2.1,5,438,433,246,241,679,660,624,1.1272727272727272,0.4258081912994385,0.03571605682373047
ER+ER,1000,2.1,6,438,433,248,243,681,662,624,1.087719298245614,0.4288959503173828,0.03573441505432129
ER+ER,1000,2.1,7,438,433,233,228,666,666,624,1.1428571428571428,0.4344210624694824,0.03310275077819824
ER+ER,1000,2.1,8,438,433,242,237,675,664,624,1.1568627450980393,0.4093952178955078,0.03471779823303223
ER+ER,1000,2.1,9,438,433,247,242,680,666,624,1.1071428571428572,0.4363234043121338,0.03487443923950195
ER+ER,1000,2.2,0,414,440,242,268,682,673,631,1.1568627450980393,0.4452066421508789,0.03482460975646973
ER+ER,1000,2.2,1,414,440,245,271,685,676,631,1.2222222222222223,0.44861555099487305,0.036272287368774414
ER+ER,1000,2.2,2,414,440,246,272,686,673,631,1.1818181818181819,0.42487430572509766,0.03649091720581055
ER+ER,1000,2.2,3,414,440,251,277,691,671,631,1.1666666666666667,0.4454348087310791,0.036538124084472656
ER+ER,1000,2.2,4,414,440,240,266,680,673,631,1.2653061224489797,0.4460604190826416,0.035004377365112305
ER+ER,1000,2.2,5,414,440,238,264,678,670,631,1.2553191489361701,0.4264700412750244,0.03545665740966797
ER+ER,1000,2.2,6,414,440,246,272,686,674,631,1.1636363636363636,0.44005656242370605,0.0362696647644043
ER+ER,1000,2.2,7,414,440,244,270,684,671,631,1.1886792452830188,0.4351985454559326,0.03603959083557129
ER+ER,1000,2.2,8,414,440,250,276,690,672,631,1.1355932203389831,0.4444620609283447,0.03622555732727051
ER+ER,1000,2.2,9,414,440,244,270,684,672,631,1.169811320754717,0.42891669273376465,0.036199331283569336
ER+ER,1000,2.3,0,443,423,240,220,663,664,615,1.1875,0.4438755512237549,0.03670954704284668
ER+ER,1000,2.3,1,443,423,249,229,672,662,615,1.1754385964912282,0.44162535667419434,0.039574623107910156
ER+ER,1000,2.3,2,443,423,250,230,673,664,615,1.0862068965517242,0.44365882873535156,0.03823447227478027
ER+ER,1000,2.3,3,443,423,247,227,670,662,615,1.0909090909090908,0.4293551445007324,0.03741097450256348
ER+ER,1000,2.3,4,443,423,246,226,669,652,615,1.1666666666666667,0.4562046527862549,0.03829169273376465
ER+ER,1000,2.3,5,443,423,253,233,676,662,615,1.1475409836065573,0.44558095932006836,0.03956174850463867
ER+ER,1000,2.3,6,443,423,246,226,669,662,615,1.1481481481481481,0.43280816078186035,0.03825640678405762
ER+ER,1000,2.3,7,443,423,254,234,677,663,615,1.1451612903225807,0.45122671127319336,0.03931307792663574
ER+ER,1000,2.3,8,443,423,244,224,667,665,615,1.1153846153846154,0.4322631359100342,0.03766465187072754
ER+ER,1000,2.3,9,443,423,243,223,666,663,615,1.2156862745098038,0.4421513080596924,0.036814212799072266
ER+ER,1000,2.4,0,401,394,239,232,633,626,593,1.225,0.44768810272216797,0.034807682037353516
ER+ER,1000,2.4,1,401,394,241,234,635,629,593,1.2380952380952381,0.43921899795532227,0.03607463836669922
ER+ER,1000,2.4,2,401,394,239,232,633,629,593,1.225,0.43065357208251953,0.03573203086853027
ER+ER,1000,2.4,3,401,394,243,236,637,630,593,1.1590909090909092,0.4332876205444336,0.03748631477355957
ER+ER,1000,2.4,4,401,394,248,241,642,627,593,1.163265306122449,0.44300293922424316,0.0380406379699707
ER+ER,1000,2.4,5,401,394,239,232,633,626,593,1.1,0.414226770401001,0.03523612022399902
ER+ER,1000,2.4,6,401,394,243,236,637,626,593,1.1363636363636365,0.4212524890899658,0.03641629219055176
ER+ER,1000,2.4,7,401,394,235,228,629,627,593,1.1666666666666667,0.4212684631347656,0.03458762168884277
ER+ER,1000,2.4,8,401,394,253,246,647,626,593,1.1296296296296295,0.4193298816680908,0.03835630416870117
ER+ER,1000,2.4,9,401,394,241,234,635,628,593,1.2142857142857142,0.4216432571411133,0.03789114952087402
ER+ER,1000,2.5,0,384,390,234,240,624,606,559,1.1692307692307693,0.4620475769042969,0.03509855270385742
ER+ER,1000,2.5,1,384,390,224,230,614,611,559,1.1272727272727272,0.452805757522583,0.03321528434753418
ER+ER,1000,2.5,2,384,390,231,237,621,614,559,1.1451612903225807,0.4496579170227051,0.03400397300720215
ER+ER,1000,2.5,3,384,390,235,241,625,606,559,1.2121212121212122,0.45190882682800293,0.03550863265991211
ER+ER,1000,2.5,4,384,390,232,238,622,610,559,1.1111111111111112,0.4490988254547119,0.0339818000793457
ER+ER,1000,2.5,5,384,390,238,244,628,606,559,1.144927536231884,0.44954824447631836,0.036142587661743164
ER+ER,1000,2.5,6,384,390,232,238,622,614,559,1.1428571428571428,0.4555854797363281,0.03603386878967285
ER+ER,1000,2.5,7,384,390,221,227,611,608,559,1.1346153846153846,0.4605381488800049,0.03176617622375488
ER+ER,1000,2.5,8,384,390,234,240,624,611,559,1.1076923076923078,0.4486813545227051,0.03536677360534668
ER+ER,1000,2.5,9,384,390,233,239,623,611,559,1.203125,0.45851564407348633,0.0354006290435791
