network_name,layer_name_1,layer_name_2,N,N_1,N_2,E_1,E_2,<k>,<k_1>,<k_2>,MDS_1,MDS_2,Diff_MDS_1,Diff_MDS_2,UDS_0,UDS_1,UDS_2,average_depth,time_1,time_2
Arabidopsis,direct_interaction,physical_association,6903,5493,2859,13857,4411,5.292771258872953,4.01477618426771,1.2779950746052442,4572,6343,255,2026,6598,6579,6453,1.2,4.618257761001587,0.46127915382385254
Celegans,direct_interaction,physical_association,3191,3126,239,5557,313,3.6790974616107803,3.482920714509558,0.19617674710122218,2197,3081,64,948,3145,3135,3114,1.1290322580645162,1.563967227935791,0.028113365173339844
Drosophila,direct_interaction,physical_association,8060,7356,2851,24094,12986,9.200992555831265,5.978660049627791,3.222332506203474,4507,6423,968,2884,7391,7342,7000,1.1687979539641944,6.679776668548584,3.8132481575012207
HumanHIV1,direct_interaction,physical_association,994,758,380,869,434,2.6217303822937628,1.7484909456740443,0.8732394366197183,976,977,9,10,986,984,977,1.2222222222222223,0.2794685363769531,0.0015087127685546875
SacchPomb,direct_interaction,physical_association,2622,971,2402,1686,7502,7.00839054157132,1.2860411899313502,5.722349351639969,2094,1993,366,265,2359,2353,2267,1.2826086956521738,1.6325228214263916,0.5955102443695068
Rattus,direct_interaction,physical_association,2593,2035,1017,3014,1093,3.1677593521018124,2.3247204010798304,0.8430389510219822,2081,2189,263,371,2452,2437,2381,1.267605633802817,1.3005218505859375,0.10208630561828613
CelegansConnectome,ElectrJ,MonoSyn,275,253,260,1031,1639,19.418181818181818,7.498181818181818,11.92,43,26,36,19,62,58,55,1.2857142857142858,0.25704169273376465,0.0115203857421875
EUAirMultiplexTransport,Lufthansa,Air_Berlin,136,106,75,488,368,12.588235294117647,7.176470588235294,5.411764705882353,110,102,22,14,124,121,119,1.4,0.05517578125,0.00638127326965332
EUAirMultiplexTransport,Easyjet,British_Airways,118,99,65,614,132,12.64406779661017,10.40677966101695,2.23728813559322,70,110,5,45,115,114,114,1.0,0.055547237396240234,0.0002474784851074219
EUAirMultiplexTransport,Ryanair,Air_Lingus,156,128,45,1202,116,16.897435897435898,15.41025641025641,1.4871794871794872,64,146,4,86,150,148,148,1.0,0.0980222225189209,0.00032711029052734375
EUAirMultiplexTransport,Iberia,Vueling_Airlines,47,35,36,70,126,8.340425531914894,2.978723404255319,5.361702127659575,41,26,19,4,45,44,44,1.0,0.019631624221801758,0.001013040542602539
EUAirMultiplexTransport,KLM,Transavia_Holland,93,63,40,124,114,5.118279569892473,2.6666666666666665,2.4516129032258065,91,75,17,1,92,91,91,2.0,0.02918219566345215,0.00018095970153808594
EUAirMultiplexTransport,TNT_Airways,European_Air_Transport,78,53,53,146,122,6.871794871794871,3.7435897435897436,3.128205128205128,49,38,28,17,66,63,62,1.0,0.0305633544921875,0.0006642341613769531
LondonTransport,Tube,Overground,369,271,126,624,258,4.780487804878049,3.3821138211382116,1.3983739837398375,106,247,98,239,345,342,341,1.0,0.21707701683044434,0.004336118698120117
KapfererTailorShop,TS1,TS2,39,39,39,316,446,39.07692307692308,16.205128205128204,22.871794871794872,0,0,0,0,0,0,0,0,0.028556346893310547,2.956390380859375e-05
KapfererTailorShop,TI1,TI2,38,35,37,109,147,13.473684210526315,5.7368421052631575,7.7368421052631575,10,4,10,4,14,12,11,2.3333333333333335,0.021878480911254883,0.0018832683563232422
KapfererTailorShop,TS1,TI1,39,39,35,316,109,21.794871794871796,16.205128205128204,5.589743589743589,0,11,0,11,11,11,11,0,0.02476811408996582,3.24249267578125e-05
KapfererTailorShop,TS2,TI2,39,39,37,446,147,30.41025641025641,22.871794871794872,7.538461538461538,0,5,0,5,5,5,5,0,0.025931835174560547,3.5762786865234375e-05
KrackhardtHighTech,friendship,advice,21,21,21,190,102,27.80952380952381,18.095238095238095,9.714285714285714,0,2,0,2,2,2,2,0,0.014322519302368164,2.5510787963867188e-05
KrackhardtHighTech,friendship,Reports_to,21,21,21,102,20,11.619047619047619,9.714285714285714,1.9047619047619047,2,16,1,15,17,16,16,1.0,0.009422540664672852,7.653236389160156e-05
LazegaLawFirm,friendship,advice,71,71,69,892,575,41.32394366197183,25.12676056338028,16.197183098591548,1,6,0,5,6,6,6,0,0.0633687973022461,3.5762786865234375e-05
LazegaLawFirm,friendship,co-work,71,69,71,575,1104,47.29577464788732,16.197183098591548,31.098591549295776,6,1,5,0,6,6,6,0,0.06698799133300781,0.000152587890625
PhysiciansInnovation,friendship,advice,238,215,228,480,506,8.285714285714286,4.033613445378151,4.2521008403361344,101,62,61,22,123,123,120,1.0,0.10293793678283691,0.0027780532836914062
PhysiciansInnovation,friendship,discussion,241,231,228,565,506,8.887966804979254,4.6887966804979255,4.199170124481328,68,65,38,35,103,101,99,1.0,0.11641693115234375,0.0018131732940673828
VickersChan7thGraders,best_friends,get_on_with,29,29,29,361,181,37.37931034482759,24.896551724137932,12.482758620689655,0,0,0,0,0,0,0,0,0.017628908157348633,2.956390380859375e-05
VickersChan7thGraders,best_friends,work_with,29,29,29,181,198,26.137931034482758,12.482758620689655,13.655172413793103,0,1,0,1,1,1,1,0,0.018968582153320312,2.765655517578125e-05
YeastLandscape,positive_interactions,negative_interactions,4455,4422,4432,67243,124066,85.88507295173962,30.187654320987654,55.69741863075196,2757,2746,908,897,3654,3621,2757,1.0122630992196209,5.46044659614563,4.858774423599243
