type,n,k,gamma,seq,MDS1,MDS2,pre_intersection,intersection,pre_union,union
ER+ER,1000,1.0,,0,645,650,416,436,879,859
ER+ER,1000,1.0,,1,645,650,416,436,879,859
ER+ER,1000,1.0,,2,645,650,419,436,876,859
ER+ER,1000,1.0,,3,645,650,415,436,880,859
ER+ER,1000,1.0,,4,645,650,414,436,881,859
ER+ER,1000,1.0,,5,645,650,412,436,883,859
ER+ER,1000,1.0,,6,645,650,422,436,873,859
ER+ER,1000,1.0,,7,645,650,415,436,880,859
ER+ER,1000,1.0,,8,645,650,413,436,882,859
ER+ER,1000,1.0,,9,645,650,421,436,874,859
ER+ER,1000,1.1,,0,629,625,392,415,862,839
ER+ER,1000,1.1,,1,629,625,394,415,860,839
ER+ER,1000,1.1,,2,629,625,392,415,862,839
ER+ER,1000,1.1,,3,629,625,392,415,862,839
ER+ER,1000,1.1,,4,629,625,387,415,867,839
ER+ER,1000,1.1,,5,629,625,389,415,865,839
ER+ER,1000,1.1,,6,629,625,395,415,859,839
ER+ER,1000,1.1,,7,629,625,392,415,862,839
ER+ER,1000,1.1,,8,629,625,393,415,861,839
ER+ER,1000,1.1,,9,629,625,392,415,862,839
ER+ER,1000,1.2,,0,612,599,370,389,841,822
ER+ER,1000,1.2,,1,612,599,361,389,850,822
ER+ER,1000,1.2,,2,612,599,363,389,848,822
ER+ER,1000,1.2,,3,612,599,363,389,848,822
ER+ER,1000,1.2,,4,612,599,355,389,856,822
ER+ER,1000,1.2,,5,612,599,364,389,847,822
ER+ER,1000,1.2,,6,612,599,363,389,848,822
ER+ER,1000,1.2,,7,612,599,364,389,847,822
ER+ER,1000,1.2,,8,612,599,362,389,849,822
ER+ER,1000,1.2,,9,612,599,358,389,853,822
ER+ER,1000,1.3,,0,572,592,332,353,832,811
ER+ER,1000,1.3,,1,572,592,325,353,839,811
ER+ER,1000,1.3,,2,572,592,336,353,828,811
ER+ER,1000,1.3,,3,572,592,328,353,836,811
ER+ER,1000,1.3,,4,572,592,326,353,838,811
ER+ER,1000,1.3,,5,572,592,321,353,843,811
ER+ER,1000,1.3,,6,572,592,322,353,842,811
ER+ER,1000,1.3,,7,572,592,321,353,843,811
ER+ER,1000,1.3,,8,572,592,325,353,839,811
ER+ER,1000,1.3,,9,572,592,324,353,840,811
ER+ER,1000,1.4,,0,562,575,311,355,826,782
ER+ER,1000,1.4,,1,562,575,316,355,821,782
ER+ER,1000,1.4,,2,562,575,310,355,827,782
ER+ER,1000,1.4,,3,562,575,311,355,826,782
ER+ER,1000,1.4,,4,562,575,312,355,825,782
ER+ER,1000,1.4,,5,562,575,314,355,823,782
ER+ER,1000,1.4,,6,562,575,315,355,822,782
ER+ER,1000,1.4,,7,562,575,314,355,823,782
ER+ER,1000,1.4,,8,562,575,309,355,828,782
ER+ER,1000,1.4,,9,562,575,310,355,827,782
