type,n,k1,k2,gamma1,gamma2,MDS1,MDS2,pre_intersection,intersection,pre_union,union
ER+ER,1000,1.0,1.0,,,645,650,420,436,875,859
ER+ER,1000,1.0,1.1,,,645,625,398,422,872,848
ER+ER,1000,1.0,1.2,,,645,599,380,405,864,839
ER+ER,1000,1.0,1.3,,,645,592,385,412,852,825
ER+ER,1000,1.0,1.4,,,645,575,377,413,843,807
ER+ER,1000,1.0,1.5,,,645,541,361,394,825,792
ER+ER,1000,1.0,1.6,,,645,527,340,371,832,801
ER+ER,1000,1.0,1.7,,,645,500,321,353,824,792
ER+ER,1000,1.0,1.8,,,645,492,317,346,820,791
ER+ER,1000,1.0,1.9,,,645,459,300,330,804,774
ER+ER,1000,1.0,2.0,,,645,441,285,316,801,770
ER+ER,1000,1.0,2.1,,,645,433,276,304,802,774
ER+ER,1000,1.0,2.2,,,645,418,253,282,810,781
ER+ER,1000,1.0,2.3,,,645,417,250,285,812,777
ER+ER,1000,1.0,2.4,,,645,411,261,296,795,760
ER+ER,1000,1.0,2.5,,,645,388,255,294,778,739
ER+ER,1000,1.0,2.6,,,645,362,221,261,786,746
ER+ER,1000,1.0,2.7,,,645,365,233,263,777,747
ER+ER,1000,1.0,2.8,,,645,349,230,264,764,730
ER+ER,1000,1.0,2.9,,,645,327,213,246,759,726
ER+ER,1000,1.0,3.0,,,645,311,199,231,757,725
ER+ER,1000,1.0,3.1,,,645,306,204,235,747,716
ER+ER,1000,1.0,3.2,,,645,305,189,230,761,720
ER+ER,1000,1.0,3.3,,,645,283,177,207,751,721
ER+ER,1000,1.0,3.4,,,645,272,181,210,736,707
ER+ER,1000,1.0,3.5,,,645,276,191,219,730,702
ER+ER,1000,1.0,3.6,,,645,254,160,196,739,703
ER+ER,1000,1.0,3.7,,,645,241,145,181,741,705
ER+ER,1000,1.0,3.8,,,645,235,150,178,730,702
ER+ER,1000,1.0,3.9,,,645,224,140,170,729,699
ER+ER,1000,1.0,4.0,,,645,209,137,171,717,683
ER+ER,1000,1.0,4.1,,,645,223,142,183,726,685
ER+ER,1000,1.0,4.2,,,645,212,135,163,722,694
ER+ER,1000,1.0,4.3,,,645,192,126,151,711,686
ER+ER,1000,1.0,4.4,,,645,190,134,152,701,683
ER+ER,1000,1.0,4.5,,,645,178,113,140,710,683
ER+ER,1000,1.0,4.6,,,645,172,108,133,709,684
ER+ER,1000,1.0,4.7,,,645,145,95,108,695,682
ER+ER,1000,1.0,4.8,,,645,151,96,122,700,674
ER+ER,1000,1.0,4.9,,,645,146,97,125,694,666
ER+ER,1000,1.0,5.0,,,645,139,80,105,704,679
ER+ER,1000,1.0,5.1,,,645,128,80,106,693,667
ER+ER,1000,1.0,5.2,,,645,120,78,96,687,669
