network_type,N,<k>,seq,MDS_1,MDS_2,Diff_MDS_1,Diff_MDS_2,UDS_0,UDS_1,UDS_2,average_depth,time_1,time_2
ER+ER,1000,2.0,0,441,431,261,251,692,674,633,1.1694915254237288,0.41016221046447754,0.03892993927001953
ER+ER,1000,2.0,1,441,431,261,251,692,678,633,1.152542372881356,0.3971750736236572,0.039356231689453125
ER+ER,1000,2.0,2,441,431,259,249,690,671,633,1.1754385964912282,0.41390395164489746,0.03835797309875488
ER+ER,1000,2.0,3,441,431,253,243,684,672,633,1.2549019607843137,0.4044060707092285,0.03801560401916504
ER+ER,1000,2.0,4,441,431,249,239,680,673,633,1.3191489361702127,0.40264248847961426,0.0377202033996582
ER+ER,1000,2.0,5,441,431,256,246,687,676,633,1.1851851851851851,0.40050554275512695,0.037915706634521484
ER+ER,1000,2.0,6,441,431,257,247,688,675,633,1.2,0.4101433753967285,0.0374603271484375
ER+ER,1000,2.0,7,441,431,253,243,684,674,633,1.0784313725490196,0.39925551414489746,0.03605341911315918
ER+ER,1000,2.0,8,441,431,261,251,692,672,633,1.0847457627118644,0.4048604965209961,0.0373835563659668
ER+ER,1000,2.0,9,441,431,257,247,688,678,633,1.2363636363636363,0.41109800338745117,0.037901878356933594
ER+ER,1000,2.1,0,446,440,258,252,698,684,647,1.1372549019607843,0.42433977127075195,0.035119056701660156
ER+ER,1000,2.1,1,446,440,254,248,694,685,647,1.1063829787234043,0.4195575714111328,0.034278154373168945
ER+ER,1000,2.1,2,446,440,256,250,696,689,647,1.2040816326530612,0.40675854682922363,0.03557133674621582
ER+ER,1000,2.1,3,446,440,260,254,700,685,647,1.0943396226415094,0.40952372550964355,0.034919023513793945
ER+ER,1000,2.1,4,446,440,251,245,691,683,647,1.0227272727272727,0.4022359848022461,0.03241086006164551
ER+ER,1000,2.1,5,446,440,261,255,701,689,647,1.0555555555555556,0.4025242328643799,0.034628868103027344
ER+ER,1000,2.1,6,446,440,264,258,704,684,647,1.1228070175438596,0.4170961380004883,0.03622937202453613
ER+ER,1000,2.1,7,446,440,271,265,711,687,647,1.125,0.4100492000579834,0.037199974060058594
ER+ER,1000,2.1,8,446,440,262,256,702,687,647,1.0727272727272728,0.39267659187316895,0.03490090370178223
ER+ER,1000,2.1,9,446,440,253,247,693,684,647,1.108695652173913,0.42546963691711426,0.034078121185302734
ER+ER,1000,2.2,0,438,426,256,244,682,662,623,1.1355932203389831,0.4295985698699951,0.03941988945007324
ER+ER,1000,2.2,1,438,426,260,248,686,669,623,1.1428571428571428,0.39879631996154785,0.04036736488342285
ER+ER,1000,2.2,2,438,426,256,244,682,666,623,1.2203389830508475,0.41403865814208984,0.04041171073913574
ER+ER,1000,2.2,3,438,426,244,232,670,670,623,1.1063829787234043,0.4058527946472168,0.03712630271911621
ER+ER,1000,2.2,4,438,426,248,236,674,669,623,1.1568627450980393,0.4383270740509033,0.03919506072998047
ER+ER,1000,2.2,5,438,426,256,244,682,672,623,1.2542372881355932,0.41308164596557617,0.04084467887878418
ER+ER,1000,2.2,6,438,426,260,248,686,662,623,1.126984126984127,0.42298054695129395,0.03980541229248047
ER+ER,1000,2.2,7,438,426,249,237,675,665,623,1.1538461538461537,0.40762972831726074,0.038004398345947266
ER+ER,1000,2.2,8,438,426,254,242,680,671,623,1.105263157894737,0.4244418144226074,0.038332462310791016
ER+ER,1000,2.2,9,438,426,255,243,681,671,623,1.2241379310344827,0.4150733947753906,0.040720462799072266
ER+ER,1000,2.3,0,423,402,257,236,659,647,601,1.0689655172413792,0.42400288581848145,0.03639578819274902
ER+ER,1000,2.3,1,423,402,254,233,656,645,601,1.0909090909090908,0.42770934104919434,0.036124229431152344
ER+ER,1000,2.3,2,423,402,254,233,656,643,601,1.1272727272727272,0.42405128479003906,0.036428213119506836
ER+ER,1000,2.3,3,423,402,255,234,657,647,601,1.0892857142857142,0.43497133255004883,0.03620147705078125
ER+ER,1000,2.3,4,423,402,262,241,664,647,601,1.1428571428571428,0.4183173179626465,0.03775429725646973
ER+ER,1000,2.3,5,423,402,261,240,663,647,601,1.2096774193548387,0.42856860160827637,0.03841233253479004
ER+ER,1000,2.3,6,423,402,254,233,656,644,601,1.1272727272727272,0.4239828586578369,0.03638815879821777
ER+ER,1000,2.3,7,423,402,260,239,662,646,601,1.0163934426229508,0.42464661598205566,0.03590512275695801
ER+ER,1000,2.3,8,423,402,252,231,654,647,601,1.1320754716981132,0.43221592903137207,0.03612518310546875
ER+ER,1000,2.3,9,423,402,258,237,660,647,601,1.0677966101694916,0.4339566230773926,0.03638768196105957
ER+ER,1000,2.4,0,368,373,237,242,610,596,547,1.2063492063492063,0.44396042823791504,0.036202430725097656
ER+ER,1000,2.4,1,368,373,233,238,606,595,547,1.1864406779661016,0.4479210376739502,0.03461575508117676
ER+ER,1000,2.4,2,368,373,235,240,608,595,547,1.1475409836065573,0.43632984161376953,0.03395223617553711
ER+ER,1000,2.4,3,368,373,236,241,609,593,547,1.1935483870967742,0.44065141677856445,0.034708499908447266
ER+ER,1000,2.4,4,368,373,233,238,606,596,547,1.1355932203389831,0.4353184700012207,0.0344088077545166
ER+ER,1000,2.4,5,368,373,238,243,611,596,547,1.109375,0.4413585662841797,0.03510618209838867
ER+ER,1000,2.4,6,368,373,232,237,605,594,547,1.206896551724138,0.4386012554168701,0.03509640693664551
ER+ER,1000,2.4,7,368,373,240,245,613,595,547,1.1666666666666667,0.4521777629852295,0.03473019599914551
ER+ER,1000,2.4,8,368,373,240,245,613,592,547,1.2575757575757576,0.43920373916625977,0.03680849075317383
ER+ER,1000,2.4,9,368,373,234,239,607,594,547,1.15,0.4460468292236328,0.03481626510620117
ER+ER,1000,2.5,0,393,392,241,240,633,612,567,1.2272727272727273,0.47766590118408203,0.03648209571838379
ER+ER,1000,2.5,1,393,392,224,223,616,608,567,1.2040816326530612,0.466433048248291,0.032423973083496094
ER+ER,1000,2.5,2,393,392,227,226,619,611,567,1.1923076923076923,0.45844411849975586,0.03344917297363281
ER+ER,1000,2.5,3,393,392,229,228,621,611,567,1.1666666666666667,0.4767627716064453,0.033562421798706055
ER+ER,1000,2.5,4,393,392,241,240,633,608,567,1.2727272727272727,0.4770629405975342,0.03749847412109375
ER+ER,1000,2.5,5,393,392,236,235,628,613,567,1.2131147540983607,0.4791531562805176,0.03567981719970703
ER+ER,1000,2.5,6,393,392,236,235,628,614,567,1.1967213114754098,0.470139741897583,0.03525972366333008
ER+ER,1000,2.5,7,393,392,242,241,634,613,567,1.1492537313432836,0.47566771507263184,0.03557848930358887
ER+ER,1000,2.5,8,393,392,227,226,619,608,567,1.0961538461538463,0.475480318069458,0.03215432167053223
ER+ER,1000,2.5,9,393,392,239,238,631,615,567,1.203125,0.4746067523956299,0.03595471382141113
ER+ER,1000,2.6,0,367,357,255,245,612,587,544,1.1176470588235294,0.4636874198913574,0.03697776794433594
ER+ER,1000,2.6,1,367,357,238,228,595,590,544,1.0588235294117647,0.46378421783447266,0.03370928764343262
ER+ER,1000,2.6,2,367,357,248,238,605,592,544,1.1311475409836065,0.4644663333892822,0.03659534454345703
ER+ER,1000,2.6,3,367,357,245,235,602,584,544,1.1379310344827587,0.46520185470581055,0.03568291664123535
ER+ER,1000,2.6,4,367,357,238,228,595,589,544,1.1176470588235294,0.4674859046936035,0.0348057746887207
ER+ER,1000,2.6,5,367,357,250,240,607,592,544,1.126984126984127,0.4770801067352295,0.03695321083068848
ER+ER,1000,2.6,6,367,357,233,223,590,588,544,1.108695652173913,0.4625844955444336,0.03342390060424805
ER+ER,1000,2.6,7,367,357,254,244,611,589,544,1.1044776119402986,0.46019792556762695,0.03783249855041504
ER+ER,1000,2.6,8,367,357,249,239,606,592,544,1.1290322580645162,0.4653024673461914,0.03661084175109863
ER+ER,1000,2.6,9,367,357,241,231,598,587,544,1.0925925925925926,0.4630608558654785,0.03533506393432617
ER+ER,1000,2.7,0,370,348,231,209,579,564,526,1.0943396226415094,0.4543137550354004,0.0342717170715332
ER+ER,1000,2.7,1,370,348,232,210,580,561,526,1.2037037037037037,0.4620821475982666,0.03530120849609375
ER+ER,1000,2.7,2,370,348,223,201,571,565,526,1.1777777777777778,0.45539212226867676,0.032721519470214844
ER+ER,1000,2.7,3,370,348,222,200,570,567,526,1.2272727272727273,0.4585587978363037,0.033370256423950195
ER+ER,1000,2.7,4,370,348,230,208,578,566,526,1.0769230769230769,0.4554331302642822,0.03472638130187988
ER+ER,1000,2.7,5,370,348,229,207,577,570,526,1.1568627450980393,0.45861124992370605,0.03446650505065918
ER+ER,1000,2.7,6,370,348,232,210,580,566,526,1.2222222222222223,0.4464554786682129,0.03523588180541992
ER+ER,1000,2.7,7,370,348,223,201,571,567,526,1.1111111111111112,0.4500308036804199,0.033098697662353516
ER+ER,1000,2.7,8,370,348,224,202,572,567,526,1.1956521739130435,0.4638340473175049,0.034073829650878906
ER+ER,1000,2.7,9,370,348,239,217,587,569,526,1.1639344262295082,0.46074938774108887,0.03683972358703613
ER+ER,1000,2.8,0,345,336,230,221,566,553,506,1.2166666666666666,0.45876264572143555,0.033933162689208984
ER+ER,1000,2.8,1,345,336,235,226,571,555,506,1.2,0.4602799415588379,0.034850358963012695
ER+ER,1000,2.8,2,345,336,229,220,565,555,506,1.2033898305084745,0.47114062309265137,0.032505035400390625
ER+ER,1000,2.8,3,345,336,232,223,568,552,506,1.1935483870967742,0.4665231704711914,0.033802032470703125
ER+ER,1000,2.8,4,345,336,234,225,570,557,506,1.234375,0.4707028865814209,0.0354771614074707
ER+ER,1000,2.8,5,345,336,226,217,562,555,506,1.3035714285714286,0.4711430072784424,0.03529548645019531
ER+ER,1000,2.8,6,345,336,225,216,561,554,506,1.1272727272727272,0.47257494926452637,0.032297372817993164
ER+ER,1000,2.8,7,345,336,231,222,567,555,506,1.098360655737705,0.46811461448669434,0.032501220703125
ER+ER,1000,2.8,8,345,336,234,225,570,555,506,1.1875,0.5060875415802002,0.03377056121826172
ER+ER,1000,2.8,9,345,336,224,215,560,555,506,1.2037037037037037,0.47307872772216797,0.0321652889251709
