network_name,layer_name_1,layer_name_2,N,N_1,N_2,E_1,E_2,<k>,<k_1>,<k_2>,MDS_1,MDS_2,Diff_MDS_1,Diff_MDS_2,UMDS_0,UMDS_1,UMDS_2,average_depth,time_1,time_2
Arabidopsis,direct_interaction,physical_association,6903,5493,2859,13857,4411,5.292771258872953,5.045330420535227,3.085694298705841,4572,6343,262,2033,6605,6577,6453,1.131578947368421,4.730104923248291,0.38672590255737305
Celegans,direct_interaction,physical_association,3191,3126,239,5557,313,3.6790974616107803,3.5553422904670504,2.6192468619246863,2197,3081,68,952,3149,3134,3114,1.0857142857142856,1.6191508769989014,0.029055118560791016
Drosophila,direct_interaction,physical_association,8060,7356,2851,24094,12986,9.200992555831265,6.55084284937466,9.10978603998597,4507,6423,960,2876,7383,7352,7000,1.1488250652741514,6.770001649856567,2.508039951324463
HumanHIV1,direct_interaction,physical_association,994,758,380,869,434,2.6217303822937628,2.29287598944591,2.2842105263157895,976,977,9,10,986,984,977,1.2222222222222223,0.28560638427734375,0.0015149116516113281
SacchPomb,direct_interaction,physical_association,2622,971,2402,1686,7502,7.00839054157132,3.4727085478887743,6.24646128226478,2094,1993,371,270,2364,2350,2267,1.2474226804123711,1.63832688331604,0.41882777214050293
Rattus,direct_interaction,physical_association,2593,2035,1017,3014,1093,3.1677593521018124,2.962162162162162,2.1494591937069814,2081,2189,248,356,2437,2431,2381,1.25,1.2848765850067139,0.10111141204833984
CelegansConnectome,ElectrJ,MonoSyn,275,253,260,1031,1639,19.418181818181818,8.150197628458498,12.607692307692307,43,26,37,20,63,59,55,1.625,0.258742094039917,0.015740633010864258
YeastLandscape,positive_interactions,negative_interactions,4455,4422,4432,67243,124066,85.88507295173962,30.412935323383085,55.98646209386282,2757,2746,924,913,3670,3619,2757,1.0153340635268346,5.416102647781372,4.883946180343628
Cannes,RT,MT,438513,340349,233735,496982,411338,4.142727809665848,2.9204257982247634,3.519695381521809,387742,382343,38758,33359,421101,None,419243,1.0376749192680301,None,2115.729127883911
MLKing,RT,MT,327660,288738,79070,291318,87144,2.3100897271561984,2.0178708725557426,2.20422410522322,294270,310008,11967,27705,321975,None,321726,1.0160642570281124,None,392.646861076355
MoscowAthletics,RT,MT,88777,74688,46821,104959,92370,4.445498270948557,2.810598757497858,3.945665406548344,78128,81115,5281,8268,86396,None,86162,1.0341880341880343,None,54.46624445915222
NYClimate,RT,MT,102416,94574,50054,213754,131679,6.745684268083112,4.520354431450504,5.261477604187477,92558,94236,5220,6898,99456,None,99154,1.0496688741721854,None,68.20253324508667
NBAFinals,RT,MT,747690,690288,321515,1055920,584543,4.3880832965533845,3.0593607305936072,3.636178716389593,696315,716617,25221,45523,741838,None,741128,1.0211267605633803,None,2337.6741156578064
Sanremo,RT,MT,55871,49904,34564,212183,93848,10.954913998317553,8.503647002244309,5.430390001157273,44617,51169,2665,9217,53834,None,53491,1.0379008746355685,None,17.32539200782776
UCLFinal,RT,MT,676654,590337,293682,885278,437307,3.9091914035829243,2.999229253799101,2.9780987598831388,621947,651692,20442,50187,672134,None,671441,1.028860028860029,None,1873.0087430477142
GravitationalWaves,RT,MT,361846,321307,118282,443548,170764,3.3954334164257722,2.7608984553713425,2.887404676958455,331974,344304,12812,25142,357116,None,356772,1.0261627906976745,None,550.3421828746796
KrackhardtHighTech-f&a,friendship,advice,21,21,21,190,102,27.80952380952381,18.095238095238095,9.714285714285714,0,2,0,2,2,2,2,0,0.01547384262084961,7.009506225585938e-05
KrackhardtHighTech-f&r,friendship,Reports_to,21,21,21,102,20,11.619047619047619,9.714285714285714,1.9047619047619047,2,16,1,15,17,16,16,1.0,0.009937047958374023,9.560585021972656e-05
LazegaLawFirm-f&a,friendship,advice,71,71,69,892,575,41.32394366197183,25.12676056338028,16.666666666666668,1,6,0,5,6,6,6,0,0.06497621536254883,4.3392181396484375e-05
LazegaLawFirm-f&c,friendship,co-work,71,69,71,575,1104,47.29577464788732,16.666666666666668,31.098591549295776,6,1,6,1,7,6,6,1.0,0.06788110733032227,0.00019598007202148438
PhysiciansInnovation-f&a,friendship,advice,238,215,228,480,506,8.285714285714286,4.465116279069767,4.43859649122807,101,62,63,24,125,122,120,1.0,0.10834598541259766,0.0029191970825195312
PhysiciansInnovation-f&d,friendship,discussion,241,231,228,565,506,8.887966804979254,4.891774891774892,4.43859649122807,68,65,36,33,101,100,99,1.0,0.11864995956420898,0.0016155242919921875
